003,Matematica Discreta
5.0,1,2,3
20240127,4.64,3.45,2.71
20240135,4.3,1.77,2.26
20240105,1.41,7.37,3.77
20240106,4.6,1.88,2.98
20240164,7.5,2.85,8.08
20240113,8.17,8.93,6.09
20240128,8.68,6.76,9.55
20240115,5.88,8.89,0.87
20240138,5.73,9.44,9.47
20240129,3.92,4.57,1.11
20240110,9.59,3.9,9.93
20240142,3.63,2.31,0.68
20240147,8.59,9.78,1.87
20240145,7.34,7.84,9.28
20240140,2.54,8.73,7.38
20240167,9.37,5.72,4.54
20240149,2.77,5.62,9.57
20240158,1.6,5.06,9.95
20240118,2.31,1.46,1.94
20240157,9.77,3.16,1.21
20240151,0.91,8.39,8.38
20240126,3.12,1.9,3.86
20240160,7.92,4.2,6.68
20240130,7.84,1.93,3.86
20240137,6.38,7.2,6.69
20240152,4.32,9.84,2.86
20240124,9.61,8.97,8.68
20240154,0.19,5.92,0.42
20240150,7.25,7.45,5.95
20240153,0.49,8.56,1.13
20240132,6.19,3.79,2.55
20240143,3.9,4.96,0.0
20240131,3.85,8.48,3.43
20240168,5.72,8.96,7.98
20240139,0.59,0.29,2.77
20240101,0.83,8.5,9.44
20240134,5.6,8.49,5.53
20240111,3.6,7.09,5.88
20240162,8.79,4.7,6.04
20240108,2.02,5.51,2.3
20240161,3.39,4.86,2.84
20240159,6.16,5.37,9.92
20240163,2.34,8.19,8.75
20240107,0.8,9.33,7.21
20240116,6.9,4.8,9.05
20240117,0.02,9.36,1.03
20240165,4.25,4.27,0.91
20240136,1.22,2.69,8.56
20240156,9.49,2.72,5.91
20240141,9.21,7.04,6.36
20240125,1.57,5.37,6.04
20240133,4.54,3.65,3.34
20240166,1.34,5.69,7.59
